20:56:19 [Safezone] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4255.389160, 16.098890, 4110.999023>) Entered the safezone
20:57:32 [Market] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=) has send a requested to purchase expansionmh6 x1 from the trader "Vehicles (Peter [#STR_EXPANSION_MARKET_TRADER_VEHICLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
20:57:32 [Market] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=) has bought expansionmh6 x1 from the trader "Vehicles (Peter [#STR_EXPANSION_MARKET_TRADER_VEHICLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2309530.
20:57:55 [ATM Locker] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=) has deposited 5000000 on his ATM account.
20:58:02 [ATM Locker] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=) has deposited 5000000 on the party "Pink Bunnies" (partyid=3 | ownerid=OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=) ATM account.
20:58:04 [ATM Locker] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA=) has deposited 5000000 on his ATM account.
20:58:22 [VehicleCarKey] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4254.472656, 9.085297, 4138.925781>) used the  ExpansionCarKey to unlock a ExpansionMh6
20:59:11 [Safezone] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A= pos=<4219.577148, 17.957153, 4054.379150>) Entered the safezone
20:59:28 [VehicleCarKey] Player "Kody" (id=vHFZU74BZI_ayyjapF-71XC4icK9QMS69f8Uu0qGWrk= pos=<3857.146240, 18.204952, 4734.725098>) used the  ExpansionCarKey to lock a ExpansionUAZCargo
21:00:30 [Market] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A=) has send a requested to purchase expansioncarkey x1 from the trader "Vehicles (Peter [#STR_EXPANSION_MARKET_TRADER_VEHICLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
21:00:30 [Market] Player "Martina_(.)(.)_" (id=KBvZ7N7QOK5224QFIh6ry8QI5xBwogyjGyBaskjwU0A=) has bought expansioncarkey x1 from the trader "Vehicles (Peter [#STR_EXPANSION_MARKET_TRADER_VEHICLES])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 500.
21:00:37 [Safezone] Player "Rikino" (id=R5QkEcrxtly9KY8lzQxLv6FMruTgXOxuSWhCmf7J-cA= pos=<4262.789063, 88.327026, 3700.803955>) Left the safezone
21:01:02 [MissionAirdrop] An airdrop is heading towards "Stein" (pos=<4619.000000, 0.000000, 7618.000000> type=Random_Stein) with a ExpansionAirdropContainer_Medical
