20:25:14 [VehicleCarKey] Player "Belthazar" (id=RltGA7jYsRIS6j9XdLdrJPzdhNNDCxY3jxHIri3V2DM= pos=<8496.689453, 11.642305, 1021.972839>) used the  ExpansionCarKey to unlock a ExpansionVodnik_Camo
20:27:41 [Safezone] Player "bliki" (id=4su7obi-vQiFwCpt_re2z-tuKNCR2I-AnAPDdxYjmgU= pos=<4285.326660, 8.052949, 4172.880371>) Entered the safezone
20:28:32 [VehicleCarKey] Player "bliki" (id=4su7obi-vQiFwCpt_re2z-tuKNCR2I-AnAPDdxYjmgU= pos=<4289.625000, 7.632253, 4178.187500>) used the  ExpansionCarKey to unlock a OffroadHatchback
20:28:55 [VehicleCarKey] Player "bliki" (id=4su7obi-vQiFwCpt_re2z-tuKNCR2I-AnAPDdxYjmgU= pos=<4288.470703, 7.796524, 4181.700195>) used the  ExpansionCarKey to lock a OffroadHatchback
20:28:57 [VehicleCarKey] Player "bliki" (id=4su7obi-vQiFwCpt_re2z-tuKNCR2I-AnAPDdxYjmgU= pos=<4288.543945, 7.785250, 4181.023438>) used the  ExpansionCarKey to unlock a OffroadHatchback
20:29:30 [MissionAirdrop] An airdrop is heading towards "Osternach" (pos=<3924.000000, 0.000000, 2662.000000> type=Random_Osternach) with a ExpansionAirdropContainer_Military
20:29:30 [MissionAirdrop] An airdrop is heading towards "Obing" (pos=<6316.000000, 0.000000, 9204.000000> type=Random_Obing) with a ExpansionAirdropContainer_Military
20:29:38 [VehicleCarKey] Player "bliki" (id=4su7obi-vQiFwCpt_re2z-tuKNCR2I-AnAPDdxYjmgU= pos=<4289.332031, 7.676406, 4178.625000>) used the  ExpansionCarKey to lock a OffroadHatchback
20:29:39 [VehicleCarKey] Player "bliki" (id=4su7obi-vQiFwCpt_re2z-tuKNCR2I-AnAPDdxYjmgU= pos=<4289.332031, 7.676406, 4178.625000>) used the  ExpansionCarKey to unlock a OffroadHatchback
20:30:22 [Safezone] Player "bliki" (id=4su7obi-vQiFwCpt_re2z-tuKNCR2I-AnAPDdxYjmgU= pos=<4419.697754, 4.836946, 3933.648926>) Left the safezone
20:31:16 [VehicleCarKey] Player "Belthazar" (id=RltGA7jYsRIS6j9XdLdrJPzdhNNDCxY3jxHIri3V2DM= pos=<10164.160156, 2.242138, 1493.237671>) used the  ExpansionCarKey to lock a ExpansionVodnik_Camo
