16:20:38 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<5119.952148, 2.199999, 8416.546875>) used the  ExpansionCarKey to unlock a OffroadHatchback
16:21:45 [MissionAirdrop] An airdrop is heading towards "Weitmoos" (pos=<6222.000000, 0.000000, 9723.000000> type=Random_Weitmoos) with a ExpansionAirdropContainer_Military
16:21:45 [MissionAirdrop] An airdrop is heading towards "Mauerkirchen" (pos=<3123.000000, 0.000000, 4342.000000> type=Random_Mauerkirchen) with a ExpansionAirdropContainer_Military
16:39:49 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3472.716553, 4.824344, 5393.665039>) used the  ExpansionCarKey to lock a OffroadHatchback
16:41:40 [Chat - Global]("svickova"(id=oN8kJi-xsr49RTr85n-0wAniEvIiJv8T7yz7CzcdFKc=)): zdravim
16:41:43 [VehicleCarKey] Player "svickova" (id=oN8kJi-xsr49RTr85n-0wAniEvIiJv8T7yz7CzcdFKc= pos=<4563.804199, 7.068297, 1787.363525>) used the  ExpansionCarKey to unlock a Sedan_02
16:44:40 [VehicleCarKey] Player "svickova" (id=oN8kJi-xsr49RTr85n-0wAniEvIiJv8T7yz7CzcdFKc= pos=<4593.916504, 8.492423, 1717.787720>) used the  ExpansionCarKey to lock a Sedan_02
16:45:10 [Chat - Global]("Pivo_tn"(id=GUHI2I0Vs22aRc9THQKqgNHrOWYalmAZ-bHCPSQrPgQ=)): cus
16:45:21 [Chat - Global]("Majky"(id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=)): nazdárek
16:47:05 [VehicleCarKey] Player "svickova" (id=oN8kJi-xsr49RTr85n-0wAniEvIiJv8T7yz7CzcdFKc= pos=<4595.645020, 8.620132, 1713.589233>) used the  ExpansionCarKey to unlock a Sedan_02
16:47:53 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3470.092285, 4.700635, 5395.793457>) used the  ExpansionCarKey to unlock a OffroadHatchback
16:49:44 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3470.333984, 4.709084, 5395.785645>) used the  ExpansionCarKey to lock a OffroadHatchback
