00:05:03 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<7074.567871, 35.612495, 6593.387695>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Camo
00:08:49 [MissionAirdrop] An airdrop is heading towards "Weitmoos" (pos=<6222.000000, 0.000000, 9723.000000> type=Random_Weitmoos) with a ExpansionAirdropContainer_Medical
00:08:49 [MissionAirdrop] An airdrop is heading towards "Stein" (pos=<4619.000000, 0.000000, 7618.000000> type=Random_Stein) with a ExpansionAirdropContainer
00:11:17 [Party] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) created a party named DAYZ chuj
00:11:26 [Party] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs=) invited the player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo=)to the party named DAYZ chuj
00:21:27 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3461.317627, 3.698286, 5360.987793>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Camo
00:25:59 [Safezone] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY= pos=<4345.532227, 136.719635, 4280.473145>) Entered the safezone
00:25:59 [Safezone] Player "Skyler85" (id=J1wNiQoRRT4WaY3VzXvAjfuzdWqiYzaMSXplrGeRAjo= pos=<4344.323242, 136.980377, 4281.281738>) Entered the safezone
00:26:00 [Safezone] Player "FrEeZeR" (id=C8L0lDGQkQyvxrmVQJHzvt0FTRB_CsRzY6BE4grNwrs= pos=<4344.250488, 137.597748, 4281.090332>) Entered the safezone
00:27:10 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3461.493408, 3.698509, 5360.597168>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Camo
00:28:43 [Safezone] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4190.175781, 15.415639, 4243.541504>) Entered the safezone
00:32:29 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4267.685547, 10.941704, 4188.345703>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Camo
00:32:44 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4269.624512, 10.926014, 4192.602051>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Camo
00:33:07 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4269.162598, 10.969725, 4192.802246>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Camo
00:33:58 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has send a requested to sell kitchenknife x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:33:58 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has sold kitchenknife x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 30.
00:34:00 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has send a requested to sell colt1911 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
00:34:00 [Market] Player "Maltrix CZE" (id=l3HvTWnXl8COrcbWA0dEsar-QbcB4NyANSOekVJXAcY=) has sold colt1911 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 34.
