20:02:36 [AI Object Patrol] Generating an example config...
20:18:22 [Safezone] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4184.424316, 14.975538, 4119.541016>) Entered the safezone
20:18:22 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 11 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 6 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 7 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 9 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 3 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 15 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 8 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:18:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 16 - Creator UID: wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=
20:19:19 [ATM Locker] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has withdrawn 120000 from his ATM account.
20:20:33 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has send a requested to purchase mmg_holster_erdl x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
20:20:33 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has bought mmg_holster_erdl x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2000.
20:21:20 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has send a requested to purchase twp_toiletroll x1 from the trader "Medicals (Eva [#STR_EXPANSION_MARKET_TRADER_MEDICALS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
20:21:20 [Market] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has bought twp_toiletroll x1 from the trader "Medicals (Eva [#STR_EXPANSION_MARKET_TRADER_MEDICALS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 3000.
20:21:31 [ATM Locker] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g=) has deposited 115000 on his ATM account.
20:22:02 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4263.209961, 11.489283, 4199.147461>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Camo
20:22:43 [Safezone] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<4066.195313, 17.002087, 4399.552246>) Left the safezone
20:23:26 [MissionAirdrop] An airdrop is heading towards "SouthEast" (pos=<7892.000000, 0.000000, 1340.000000> type=Random_SouthEast) with a ExpansionAirdropContainer_Medical
20:23:26 [MissionAirdrop] An airdrop is heading towards "Schlachtfeld" (pos=<3059.000000, 0.000000, 1707.000000> type=Random_Schlachtfeld) with a ExpansionAirdropContainer_Military
20:24:07 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3454.149658, 3.614048, 5342.109375>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Camo
20:29:59 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3454.332275, 3.613723, 5342.200195>) used the  ExpansionCarKey to unlock a CrSk_Hummer_H2_6x6_Camo
20:30:40 [VehicleCarKey] Player "Majky" (id=wvz1jGdA27Eb3vtZqqzBgGv9Su_0oOujtdP3UqN1c-g= pos=<3453.927979, 3.614637, 5343.803711>) used the  ExpansionCarKey to lock a CrSk_Hummer_H2_6x6_Camo
