06:05:55 [AI Object Patrol] Generating an example config...
06:10:51 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:10:51 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:10:51 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=
06:15:54 [MissionAirdrop] An airdrop is heading towards "Stein" (pos=<4619.000000, 0.000000, 7618.000000> type=Random_Stein) with a ExpansionAirdropContainer_Basebuilding
06:15:54 [MissionAirdrop] An airdrop is heading towards "Airport" (pos=<8307.879883, 0.000000, 924.599976> type=Random_Airport) with a ExpansionAirdropContainer_Medical
06:57:06 [Safezone] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs= pos=<4191.462891, 14.344594, 4244.885742>) Entered the safezone
07:01:22 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to sell ak74 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:01:22 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has sold ak74 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 849.
07:04:10 [ATM Locker] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has withdrawn 20000 from his ATM account.
07:05:26 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase mmg_tactical_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:05:27 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought mmg_tactical_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2000.
07:05:30 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase mmg_tactical_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:05:30 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought mmg_tactical_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2000.
07:07:10 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase mmg_ammo_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:07:10 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought mmg_ammo_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2000.
07:07:53 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has send a requested to purchase mmg_med_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
07:07:53 [Market] Player "Juliette" (id=qOLd_YWs-0-38HYjDLv8hdgZnGxiLFWzGbxtZxKaMUs=) has bought mmg_med_pouch_black x1 from the trader "Clothing (Linda [#STR_EXPANSION_MARKET_TRADER_CLOTHING])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) for a price of 2000.
