00:02:43 [AI Object Patrol] Generating an example config...
00:10:17 [Expansion Quests] - SetupClientData - Created new persistent player quest data for player UID: qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=
00:12:14 [Party] Player "nic" (id=qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=) created a party named fff
00:14:37 [Killfeed] nic got killed by an Infected.
00:14:56 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: qACnsDSyjJGN2BaHn0ttiO1kddrq9aRPDePwV8IMnWE=
00:15:26 [MissionAirdrop] An airdrop is heading towards "Weitmoos" (pos=<6222.000000, 0.000000, 9723.000000> type=Random_Weitmoos) with a ExpansionAirdropContainer
00:15:26 [MissionAirdrop] An airdrop is heading towards "Camprefugi" (pos=<4669.000000, 0.000000, 5240.000000> type=Random_Camprefugi) with a ExpansionAirdropContainer
02:14:38 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: 2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=
02:14:38 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: 2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=
02:14:38 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: 2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=
02:14:47 [MissionAirdrop] An airdrop is heading towards "Osternach" (pos=<3924.000000, 0.000000, 2662.000000> type=Random_Osternach) with a ExpansionAirdropContainer
02:14:47 [MissionAirdrop] An airdrop is heading towards "Krater" (pos=<7262.000000, 0.000000, 9618.000000> type=Random_Krater) with a ExpansionAirdropContainer_Basebuilding
03:11:02 [Safezone] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ= pos=<4300.886230, 1.115311, 4292.111328>) Entered the safezone
03:12:46 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:47 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:48 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:48 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:49 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:49 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:50 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:50 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:50 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:50 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:51 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:51 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:52 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:52 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:54 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:54 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:12:55 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:12:55 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 4.
03:13:11 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell ammo_12gapellets x14 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:13:11 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold ammo_12gapellets x14 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 63.
03:13:31 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell expansionkar98scopeoptic x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
03:13:31 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has sold expansionkar98scopeoptic x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 220.
03:13:38 [Market] Player "No Gear Ginger Beer" (id=2cSNTbMeANVEmKJcaUisiRgiyqqL5Vd7e6FpP6ufaqQ=) has send a requested to sell twp_ammo_20x76 x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
