00:02:33 [AI Object Patrol] Generating an example config...
00:07:02 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
00:07:02 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
00:07:02 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 13 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
00:07:02 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 18 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
00:12:05 [MissionAirdrop] An airdrop is heading towards "Stein" (pos=<4619.000000, 0.000000, 7618.000000> type=Random_Stein) with a ExpansionAirdropContainer_Medical
00:12:05 [MissionAirdrop] An airdrop is heading towards "SouthEast" (pos=<7892.000000, 0.000000, 1340.000000> type=Random_SouthEast) with a ExpansionAirdropContainer_Medical
01:00:22 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
01:00:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
01:00:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 18 - Creator UID: S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=
01:08:01 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell cowpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:01 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold cowpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 750.
01:08:02 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:02 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 1500.
01:08:02 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:02 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 1500.
01:08:03 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:03 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 1500.
01:08:03 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:03 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 1500.
01:08:04 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:04 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 1125.
01:08:09 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell cowsteakmeat x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:09 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold cowsteakmeat x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 119.
01:08:10 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell cowsteakmeat x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:10 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold cowsteakmeat x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 127.
01:08:11 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell cowsteakmeat x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:11 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold cowsteakmeat x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 117.
01:08:13 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell lard x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:13 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold lard x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 51.
01:08:14 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell lard x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:14 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold lard x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 80.
01:08:22 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to purchase weaponcleaningkit x1 from the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:08:22 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has bought weaponcleaningkit x1 from the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) for a price of 2000.
01:35:29 [MissionAirdrop] An airdrop is heading towards "Mauerkirchen" (pos=<3123.000000, 0.000000, 4342.000000> type=Random_Mauerkirchen) with a ExpansionAirdropContainer_Basebuilding
01:35:29 [MissionAirdrop] An airdrop is heading towards "Prison" (pos=<1399.579956, 0.000000, 9977.769531> type=Random_Prison) with a ExpansionAirdropContainer_Basebuilding
01:46:17 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has send a requested to sell wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>).
01:46:17 [Market] Player "Casper" (id=S9XeA0hkzh0BuQ40IZp9f43dJV0cx5VEKx2whZkh39A=) has sold wolfpelt x1 at the trader "Hunting (Peter [Hunter & Fish Trader])" in market zone "OUTLIVE Hunter&Fish Trader" (pos=<7173.500000, 72.561798, 8110.560059>) and got 1500.
