08:02:35 [AI Object Patrol] Generating an example config...
08:03:55 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 11 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:03:55 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 12 - Creator UID: VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=
08:04:00 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
08:04:00 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
08:04:00 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 82 - Creator UID: 4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ=
08:04:22 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
08:04:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
08:04:22 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM=
08:04:38 [VehicleCarKey] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<3933.479736, 19.698215, 5005.618652>) used the  ExpansionCarKey to unlock a Sedan_02
08:04:41 [VehicleCarKey] Player "P@lko2265" (id=iyN6JbNqEvHMp_A5zeXvCmCy1_EaihIFwZocZ4y6-LM= pos=<8961.737305, 15.269310, 3074.653320>) used the  ExpansionCarKey to unlock a ExpansionGyrocopter
08:07:15 [Safezone] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<4190.314453, 14.891310, 4243.653320>) Entered the safezone
08:07:15 [Safezone] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs= pos=<4189.793457, 14.890825, 4243.154297>) Entered the safezone
08:08:12 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell twp_kukri_gradient x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:08:12 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold twp_kukri_gradient x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 130.
08:08:15 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell twp_mp153black x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:08:15 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold twp_mp153black x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 716.
08:08:17 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell mosin9130 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:08:17 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold mosin9130 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 600.
08:08:22 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell cz75 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:08:22 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold cz75 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 58.
08:08:24 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has send a requested to sell makarovij70 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
08:08:24 [Market] Player "DeltaZero5" (id=VdQMzQXeHHOFLSE_1rZsNZwA13odSwsy4R1-udi8Yjs=) has sold makarovij70 x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 37.
08:08:29 [VehicleCarKey] Player "Banderas" (id=4J1ZKcwA-26L3HgU5BJNo7WcyuiqX0LXnszrWFv9hmQ= pos=<4269.954102, 10.838029, 4190.610352>) used the  ExpansionCarKey to lock a Sedan_02
