12:02:34 [AI Object Patrol] Generating an example config...
12:03:38 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: HmoyAH1t2KejoSgtXMBbb7G-XqppYeWNJ-JGgiwVNzw=
12:03:38 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: HmoyAH1t2KejoSgtXMBbb7G-XqppYeWNJ-JGgiwVNzw=
12:03:38 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: HmoyAH1t2KejoSgtXMBbb7G-XqppYeWNJ-JGgiwVNzw=
12:08:41 [MissionAirdrop] An airdrop is heading towards "Krautinsel" (pos=<8192.009766, 0.000000, 4341.879883> type=Random_KrautInsel) with a ExpansionAirdropContainer
12:08:41 [MissionAirdrop] An airdrop is heading towards "Prison" (pos=<1399.579956, 0.000000, 9977.769531> type=Random_Prison) with a ExpansionAirdropContainer
12:32:11 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: Kp552-DUmpXjFmzRHkPAo19gGBC4gSvKLPksgSQ_nac=
12:32:11 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: Kp552-DUmpXjFmzRHkPAo19gGBC4gSvKLPksgSQ_nac=
12:32:11 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: Kp552-DUmpXjFmzRHkPAo19gGBC4gSvKLPksgSQ_nac=
12:47:17 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=
12:47:17 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=
12:49:08 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
12:49:08 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=
12:52:40 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<4494.240234, 2.770556, 2513.190674>) used the  ExpansionCarKey to unlock a ExpansionMh6_Digital
12:56:05 [Safezone] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<4251.077148, 118.029678, 4040.356689>) Entered the safezone
12:56:16 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: Kp552-DUmpXjFmzRHkPAo19gGBC4gSvKLPksgSQ_nac=
12:57:13 [VehicleCarKey] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk= pos=<4264.662598, 8.016919, 4150.859863>) used the  ExpansionCarKey to lock a ExpansionMh6_Digital
12:58:08 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: OWXX6Y-5LFd-7A6ELi2o-QPO0kjmZUMZvMTKL0AQ_q0=
12:58:51 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell saiga x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:58:51 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold saiga x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 780.
12:58:56 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell saiga x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
12:58:56 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has sold saiga x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 660.
12:59:04 [Market] Player "Bflame" (id=u7jy1hFXeX-3C-ubChAdh59YiiyuY16LDVnTQIqtPmk=) has send a requested to sell aks74u x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
