12:02:39 [AI Object Patrol] Generating an example config...
12:04:24 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:04:24 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:04:24 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 18 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:04:24 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 85 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
12:05:07 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 11 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 12 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 13 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 6 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 7 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 10 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 41 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 18 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:05:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 82 - Creator UID: _as2mpidcm2ETxDe4vO9p_hL3BTuR3CWMaI4yFTnxa4=
12:08:13 [Expansion Quests] - SetupClientData - Loaded existing player quest data for player with UID: htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=
12:08:13 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 20 - Creator UID: htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=
12:08:13 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: htCDnLpFFf_5M--EE2Ozogwz4CTNBchyoCFouXFMQFU=
12:09:26 [MissionAirdrop] An airdrop is heading towards "Krater" (pos=<7262.000000, 0.000000, 9618.000000> type=Random_Krater) with a ExpansionAirdropContainer_Basebuilding
12:09:26 [MissionAirdrop] An airdrop is heading towards "SouthEast" (pos=<7892.000000, 0.000000, 1340.000000> type=Random_SouthEast) with a ExpansionAirdropContainer_Basebuilding
14:23:07 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
14:23:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
14:23:07 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 85 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
14:23:07 [MissionAirdrop] An airdrop is heading towards "Prien" (pos=<4452.000000, 0.000000, 2196.000000> type=Random_Prien) with a ExpansionAirdropContainer_Military
14:23:07 [MissionAirdrop] An airdrop is heading towards "Airport" (pos=<8307.879883, 0.000000, 924.599976> type=Random_Airport) with a ExpansionAirdropContainer_Basebuilding
14:32:48 [Expansion Quests] - SetupClientData - Got cached player quest data for player with UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
14:32:48 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 23 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
14:32:48 [Expansion Quests] - PlayerQuestsInit - Create new quest instance for quest: 18 - Creator UID: z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=
14:59:26 [Safezone] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM= pos=<4234.059570, 18.194424, 4046.334717>) Entered the safezone
15:00:17 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell twp_fnfal x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:00:17 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold twp_fnfal x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1800.
15:00:25 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell akm x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
15:00:25 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has sold akm x1 at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>) and got 1130.
15:00:36 [Market] Player "[Chill] Rehy_CZ" (id=z67WFg-Joo3MekD4H0kXOZXbSI0D6ip7P9dY0J-nUoM=) has send a requested to sell ammobox_545x39_20rnd x1 at the trader "Attachments (Oliver [#STR_EXPANSION_MARKET_TRADER_ATTACHMENTS])" in market zone "OUTLIVE Trader" (pos=<4291.589844, 25.247801, 4162.500000>).
